1,1981,282,16
1,1982,265,16
1,1983,264,16
1,1984,256,16
1,1985,247,16
1,1986,264,16
1,1987,266,16
1,1988,275,16
1,1989,250,16
1,1990,256,16
1,1992,283,16
1,1993,260,16
1,1994,283,16
1,1995,289,16
1,1996,276,16
1,1997,277,16
4,1990,280,24
4,1991,276,24
4,1992,270,24
4,1993,267,24
4,1994,277,24
4,1995,275,24
4,1996,274,24
4,1997,273,24
4,1998,285,24
4,1999,277,24
4,2000,270,24
4,2001,266,24
4,2002,267,24
4,2003,274,24
4,2004,274,24
4,2006,267,24
4,2007,261,24
4,2008,267,24
4,2009,271,24
4,2011,273,24
4,2012,269,24
4,2013,270,24
4,2014,262,24
4,2015,273,24
5,1981,285,15
5,1982,295,15
5,1983,295,15
5,1984,300,15
5,1985,294,15
5,1986,274,15
5,1987,271,15
5,1988,265,15
5,1989,269,15
5,1990,284,15
5,1991,295,15
5,1992,289,15
5,1993,271,15
5,1994,277,15
5,1995,293,15
15,1993,263,17
15,1994,277,17
15,1995,278,17
15,1996,278,17
15,1997,265,17
15,1998,252,17
15,1999,281,17
15,2000,270,17
15,2001,263,17
15,2002,291,17
15,2003,276,17
15,2004,271,17
15,2005,273,17
15,2006,263,17
15,2010,277,17
15,2011,289,17
15,2012,281,17
16,1981,288,16
16,1982,266,16
16,1983,280,16
16,1984,271,16
16,1985,275,16
16,1986,274,16
16,1987,284,16
16,1988,279,16
16,1989,277,16
16,1990,275,16
16,1991,294,16
16,1992,279,16
16,1993,274,16
16,1994,280,16
16,1995,284,16
16,1996,282,16
21,1989,291,18
21,1990,271,18
21,1992,272,18
21,1993,277,18
21,1994,286,18
21,1995,305,18
21,1997,267,18
21,1998,263,18
21,1999,281,18
21,2000,270,18
21,2001,295,18
21,2002,274,18
21,2005,293,18
21,2008,283,18
21,2009,274,18
21,2010,257,18
21,2012,275,18
21,2015,267,18
26,1979,282,19
26,1980,270,19
26,1981,267,19
26,1982,273,19
26,1983,270,19
26,1985,263,19
26,1986,273,19
26,1987,288,19
26,1988,285,19
26,1989,288,19
26,1990,278,19
26,1992,280,19
26,1993,282,19
26,1994,273,19
26,1995,273,19
26,1996,278,19
26,1997,267,19
26,1998,260,19
26,1999,271,19
28,1979,269,18
28,1980,269,18
28,1981,272,18
28,1982,263,18
28,1983,266,18
28,1984,270,18
28,1985,262,18
28,1986,270,18
28,1987,274,18
28,1988,267,18
28,1989,286,18
28,1990,251,18
28,1991,264,18
28,1992,247,18
28,1993,274,18
28,1994,261,18
28,1995,280,18
28,1996,277,18
29,1979,260,18
29,1980,260,18
29,1982,248,18
29,1983,264,18
29,1984,286,18
29,1985,262,18
29,1986,254,18
29,1987,282,18
29,1988,259,18
29,1989,264,18
29,1990,260,18
29,1991,279,18
29,1992,271,18
29,1993,271,18
29,1994,283,18
29,1995,277,18
29,1996,272,18
29,1997,271,18
30,1980,293,20
30,1981,293,20
30,1982,294,20
30,1983,287,20
30,1984,330,20
30,1985,284,20
30,1986,276,20
30,1987,290,20
30,1988,264,20
30,1989,288,20
30,1990,271,20
30,1991,284,20
30,1992,263,20
30,1993,261,20
30,1994,264,20
30,1995,271,20
30,1996,272,20
30,1997,265,20
30,1998,260,20
30,1999,267,20
32,1984,299,25
32,1989,254,25
32,1993,289,25
32,1994,303,25
32,1995,303,25
32,1996,297,25
32,1997,288,25
32,1998,283,25
32,1999,298,25
32,2000,291,25
32,2001,301,25
32,2002,290,25
32,2003,290,25
32,2004,283,25
32,2005,293,25
32,2006,278,25
32,2007,268,25
32,2008,276,25
32,2009,273,25
32,2010,287,25
32,2011,278,25
32,2012,295,25
32,2013,291,25
32,2014,274,25
32,2015,285,25
33,1979,288,18
33,1980,294,18
33,1981,269,18
33,1982,267,18
33,1983,272,18
33,1984,271,18
33,1985,288,18
33,1986,291,18
33,1987,299,18
33,1988,284,18
33,1990,289,18
33,1991,301,18
33,1992,287,18
33,1993,279,18
33,1994,281,18
33,1995,285,18
33,1996,292,18
33,1998,284,18
36,1980,299,22
36,1981,274,22
36,1983,280,22
36,1984,298,22
36,1986,276,22
36,1987,292,22
36,1988,281,22
36,1989,296,22
36,1997,271,22
36,1999,281,22
36,2000,288,22
36,2001,280,22
36,2002,281,22
36,2003,257,22
36,2004,274,22
36,2006,297,22
36,2008,259,22
36,2010,278,22
36,2012,271,22
36,2013,268,22
36,2014,278,22
36,2015,267,22
37,1979,256,16
37,1980,275,16
37,1982,274,16
37,1983,249,16
37,1984,267,16
37,1985,263,16
37,1986,269,16
37,1987,285,16
37,1988,265,16
37,1989,283,16
37,1990,262,16
37,1991,292,16
37,1992,283,16
37,1993,275,16
37,1994,285,16
37,1995,281,16
40,1984,288,22
40,1987,285,22
40,1991,301,22
40,1992,258,22
40,1993,268,22
40,1994,292,22
40,1995,311,22
40,1996,288,22
40,1997,277,22
40,1998,278,22
40,1999,291,22
40,2001,287,22
40,2002,288,22
40,2003,291,22
40,2004,298,22
40,2005,285,22
40,2006,290,22
40,2007,288,22
40,2008,288,22
40,2009,286,22
40,2010,283,22
40,2011,297,22
50,1988,292,27
50,1989,292,27
50,1990,289,27
50,1991,304,27
50,1992,282,27
50,1993,277,27
50,1994,284,27
50,1995,288,27
50,1996,291,27
50,1997,276,27
50,1998,276,27
50,1999,299,27
50,2000,283,27
50,2001,288,27
50,2002,293,27
50,2003,273,27
50,2004,292,27
50,2006,312,27
50,2007,297,27
50,2008,290,27
50,2009,293,27
50,2010,298,27
50,2011,294,27
50,2012,288,27
50,2013,283,27
50,2014,288,27
50,2015,292,27
56,1979,269,22
56,1980,274,22
56,1981,269,22
56,1982,275,22
56,1983,271,22
56,1984,277,22
56,1985,264,22
56,1986,265,22
56,1987,278,22
56,1988,266,22
56,1989,276,22
56,1990,272,22
56,1991,280,22
56,1992,265,22
56,1993,285,22
56,1994,276,22
56,1995,290,22
56,1996,290,22
56,1997,278,22
56,1998,273,22
56,1999,281,22
56,2000,279,22
59,1979,266,19
59,1980,274,19
59,1981,283,19
59,1982,276,19
