7154,1998,267,15
7154,1999,267,15
7154,2000,268,15
7154,2001,267,15
7154,2002,270,15
7154,2003,269,15
7154,2004,267,15
7154,2005,266,15
7154,2006,282,15
7154,2007,267,15
7154,2008,272,15
7154,2009,288,15
7154,2011,276,15
7154,2014,270,15
7154,2015,265,15
7155,1998,259,18
7155,1999,270,18
7155,2000,274,18
7155,2001,279,18
7155,2002,280,18
7155,2003,265,18
7155,2004,270,18
7155,2005,272,18
7155,2006,278,18
7155,2007,267,18
7155,2008,268,18
7155,2009,276,18
7155,2010,266,18
7155,2011,269,18
7155,2012,266,18
7155,2013,271,18
7155,2014,268,18
7155,2015,273,18
7156,1998,256,18
7156,1999,256,18
7156,2000,261,18
7156,2001,266,18
7156,2002,262,18
7156,2003,258,18
7156,2004,258,18
7156,2005,266,18
7156,2006,283,18
7156,2007,265,18
7156,2008,269,18
7156,2009,272,18
7156,2010,270,18
7156,2011,276,18
7156,2012,269,18
7156,2013,277,18
7156,2014,274,18
7156,2015,271,18
7159,1998,267,15
7159,1999,266,15
7159,2000,268,15
7159,2001,264,15
7159,2002,270,15
7159,2003,267,15
7159,2004,263,15
7159,2005,266,15
7159,2008,254,15
7159,2010,263,15
7159,2011,262,15
7159,2012,260,15
7159,2013,273,15
7159,2014,262,15
7159,2015,261,15
7160,1998,264,17
7160,1999,263,17
7160,2000,268,17
7160,2001,270,17
7160,2002,273,17
7160,2003,269,17
7160,2004,259,17
7160,2005,270,17
7160,2006,275,17
7160,2007,270,17
7160,2008,274,17
7160,2009,278,17
7160,2010,269,17
7160,2011,266,17
7160,2012,258,17
7160,2013,263,17
7160,2014,270,17
7163,1998,267,17
7163,1999,273,17
7163,2000,264,17
7163,2001,274,17
7163,2002,273,17
7163,2003,272,17
7163,2004,271,17
7163,2005,276,17
7163,2006,285,17
7163,2007,281,17
7163,2009,287,17
7163,2010,285,17
7163,2011,279,17
7163,2012,278,17
7163,2013,280,17
7163,2014,279,17
7163,2015,278,17
7165,1998,257,15
7165,1999,245,15
7165,2000,264,15
7165,2001,263,15
7165,2002,264,15
7165,2003,258,15
7165,2004,252,15
7165,2005,255,15
7165,2006,277,15
7165,2007,267,15
7165,2008,270,15
7165,2009,278,15
7165,2010,273,15
7165,2011,272,15
7165,2015,274,15
7172,1998,257,16
7172,1999,258,16
7172,2000,266,16
7172,2001,277,16
7172,2002,279,16
7172,2003,271,16
7172,2004,239,16
7172,2005,269,16
7172,2006,278,16
7172,2007,263,16
7172,2008,262,16
7172,2009,267,16
7172,2010,278,16
7172,2011,259,16
7172,2012,264,16
7172,2014,268,16
7173,1998,250,18
7173,1999,243,18
7173,2000,240,18
7173,2001,239,18
7173,2002,245,18
7173,2003,237,18
7173,2004,242,18
7173,2005,251,18
7173,2006,254,18
7173,2007,265,18
7173,2008,269,18
7173,2009,269,18
7173,2010,273,18
7173,2011,272,18
7173,2012,266,18
7173,2013,266,18
7173,2014,276,18
7173,2015,262,18
7174,1998,247,16
7174,1999,238,16
7174,2000,243,16
7174,2001,250,16
7174,2002,252,16
7174,2003,227,16
7174,2004,249,16
7174,2005,262,16
7174,2006,257,16
7174,2007,250,16
7174,2008,259,16
7174,2009,252,16
7174,2011,255,16
7174,2012,262,16
7174,2013,265,16
7174,2014,266,16
7175,1998,238,15
7175,1999,244,15
7175,2000,252,15
7175,2001,246,15
7175,2002,245,15
7175,2003,254,15
7175,2004,249,15
7175,2005,248,15
7175,2006,242,15
7175,2007,259,15
7175,2008,255,15
7175,2010,259,15
7175,2011,258,15
7175,2012,262,15
7175,2015,257,15
7180,1998,243,15
7180,1999,245,15
7180,2001,242,15
7180,2002,245,15
7180,2003,247,15
7180,2004,252,15
7180,2005,251,15
7180,2006,261,15
7180,2007,256,15
7180,2008,258,15
7180,2009,256,15
7180,2010,251,15
7180,2011,252,15
7180,2012,260,15
7180,2014,253,15
7184,1998,248,18
7184,1999,244,18
7184,2000,265,18
7184,2001,257,18
7184,2002,259,18
7184,2003,267,18
7184,2004,263,18
7184,2005,266,18
7184,2006,257,18
7184,2007,260,18
7184,2008,260,18
7184,2009,261,18
7184,2010,251,18
7184,2011,251,18
7184,2012,255,18
7184,2013,247,18
7184,2014,258,18
7184,2015,258,18
7185,1998,239,17
7185,1999,243,17
7185,2000,250,17
7185,2002,248,17
7185,2003,253,17
7185,2004,251,17
7185,2005,248,17
7185,2006,248,17
7185,2007,263,17
7185,2008,257,17
7185,2009,258,17
7185,2010,255,17
7185,2011,257,17
7185,2012,261,17
7185,2013,255,17
7185,2014,279,17
7185,2015,259,17
