1,1980,268,18
1,1981,282,18
1,1982,295,18
1,1983,264,18
1,1984,271,18
1,1985,265,18
1,1986,264,18
1,1987,266,18
1,1988,275,18
1,1990,268,18
1,1991,280,18
1,1992,291,18
1,1993,280,18
1,1995,299,18
1,1996,276,18
1,1997,277,18
1,1998,289,18
1,1999,286,18
3,1983,275,16
3,1992,285,16
3,1993,270,16
3,1994,281,16
3,1995,267,16
3,1996,274,16
3,1997,301,16
3,1998,287,16
3,1999,289,16
3,2000,291,16
3,2001,309,16
3,2002,290,16
3,2003,306,16
3,2004,300,16
3,2005,306,16
3,2006,314,16
4,1990,279,25
4,1991,294,25
4,1992,274,25
4,1993,269,25
4,1994,291,25
4,1995,287,25
4,1996,284,25
4,1997,281,25
4,1998,286,25
4,1999,297,25
4,2000,282,25
4,2001,285,25
4,2002,274,25
4,2003,285,25
4,2004,281,25
4,2005,276,25
4,2006,289,25
4,2007,278,25
4,2008,275,25
4,2009,282,25
4,2010,285,25
4,2012,281,25
4,2013,278,25
4,2014,273,25
4,2015,276,25
15,1993,293,20
15,1994,271,20
15,1995,286,20
15,1996,299,20
15,1997,268,20
15,1998,269,20
15,1999,288,20
15,2000,282,20
15,2001,289,20
15,2002,293,20
15,2003,291,20
15,2004,276,20
15,2005,294,20
15,2006,304,20
15,2007,280,20
15,2008,279,20
15,2009,286,20
15,2010,288,20
15,2011,286,20
15,2012,291,20
16,1981,292,16
16,1982,280,16
16,1983,298,16
16,1984,283,16
16,1985,281,16
16,1986,281,16
16,1987,282,16
16,1988,283,16
16,1989,275,16
16,1990,276,16
16,1991,288,16
16,1992,278,16
16,1993,277,16
16,1994,281,16
16,1995,283,16
16,1996,282,16
21,1989,298,21
21,1990,288,21
21,1991,297,21
21,1992,283,21
21,1993,293,21
21,1994,295,21
21,1995,302,21
21,1996,292,21
21,1998,292,21
21,1999,297,21
21,2001,274,21
21,2002,281,21
21,2003,283,21
21,2004,285,21
21,2008,292,21
21,2009,292,21
21,2010,293,21
21,2011,302,21
21,2012,296,21
21,2013,290,21
21,2015,266,21
28,1979,276,17
28,1980,267,17
28,1981,271,17
28,1982,259,17
28,1983,261,17
28,1985,254,17
28,1986,266,17
28,1987,267,17
28,1988,272,17
28,1989,247,17
28,1990,276,17
28,1991,274,17
28,1992,245,17
28,1993,271,17
28,1994,247,17
28,1995,281,17
28,1996,280,17
29,1981,262,15
29,1982,273,15
29,1983,283,15
29,1984,293,15
29,1986,267,15
29,1988,273,15
29,1989,288,15
29,1990,269,15
29,1991,279,15
29,1992,289,15
29,1993,278,15
29,1994,290,15
29,1995,279,15
29,1996,298,15
29,1997,297,15
32,1998,293,17
32,1999,299,17
32,2000,300,17
32,2001,308,17
32,2003,300,17
32,2004,285,17
32,2005,262,17
32,2006,265,17
32,2007,271,17
32,2008,293,17
32,2009,278,17
32,2010,293,17
32,2011,273,17
32,2012,294,17
32,2013,277,17
32,2014,249,17
32,2015,288,17
33,1979,283,19
33,1981,289,19
33,1982,282,19
33,1983,272,19
33,1984,280,19
33,1985,290,19
